"AgentID"	"SpecifyUserID"	"EMail"	"Name"	"Password"	"new_pass"
1	1	"alanvaug@dina-web.example.net"	"nrmuser"	""	"7es2xGqs"
2	2	"daleschm@dina-web.example.net"	"daleschm"	""	"qbdSwzva"
331	3	"fatiflet@dina-web.example.net"	"fatiflet"	""	"sRdhxtKq"
0	4	"brocmeza@dina-web.example.net"	"brocmeza"	""	"8jpuSVzS"
1855	5	"fernwong@dina-web.example.net"	"fernwong"	""	"ECLrKgHJ"
7735	6	"benjreye@dina-web.example.net"	"benjreye"	""	"a6FeJRb6"
1854	7	"kinlhend@dina-web.example.net"	"kinlhend"	""	"j4fNecuJ"
1862	8	"ansomcma@dina-web.example.net"	"ansomcma"	""	"BUMJRCEq"
1714	10	"miloscot@dina-web.example.net"	"miloscot"	""	"WhNgWhrq"
2595	11	"lucireil@dina-web.example.net"	"lucireil"	""	"eXPfdjpX"
2599	12	"saraalli@dina-web.example.net"	"saraalli"	""	"cwwpPL4A"
2606	13	"jesurich@dina-web.example.net"	"jesurich"	""	"bEVhFXZt"
